strata,su1,su2,su3,su4,su5,x1,x2,x3,x4,yreg,ylogit,yprobit,ymlogit,postid,postw,stdize,stdw,pw1,fpc1,pw2,fpc2,pw3,fpc3,pw4,fpc4,pw5,fpc5,pw6,fpc6,pw,id
1,1,1,1,3,5,1.981099,-.3296953,0,2.522892,3.711506,0,1,5,3,106932,2,122477,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.6666667,10,12,36,55.55556,28
1,1,1,1,3,6,-.0746057,-.6140658,0,3.776644,2.985747,0,0,1,2,106177,4,112991,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.6666667,10,10,30,46.2963,29
1,1,1,1,3,6,2.109806,.7169008,0,-2.534853,4.044868,0,0,4,2,106177,5,71635,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.6666667,10,10,30,46.2963,30
1,1,1,1,3,6,1.062419,-.0257035,0,.1461339,2.765857,0,1,3,4,106337,5,71635,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.6666667,10,10,30,46.2963,31
1,1,1,1,3,7,-.2928524,1.102455,0,1.98357,2.217257,1,0,1,1,106770,5,71635,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.6666667,10,11.6,58,53.7037,32
1,1,1,1,3,7,.8633325,-.4226833,1,-1.971563,3.950848,1,0,3,3,106932,4,112991,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.6666667,10,11.6,58,53.7037,33
1,1,1,1,3,7,-1.027048,.0210565,1,-2.979383,2.81603,0,0,5,5,107066,2,122477,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.6666667,10,11.6,58,53.7037,34
1,1,1,1,3,7,-1.758361,.2115797,0,-1.133598,.8153026,0,0,5,5,107066,5,71635,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.6666667,10,11.6,58,53.7037,35
1,1,1,1,3,7,.5776856,-.506081,0,-2.099478,3.412811,1,0,5,5,107066,4,112991,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.6666667,10,11.6,58,53.7037,36
1,1,1,1,3,8,-.3145035,.8463486,0,-.9250287,1.796566,0,1,3,4,106337,2,122477,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.6666667,10,12,48,55.55556,37
1,1,1,1,3,8,.9059318,-.325948,1,-.085819,3.220888,0,0,3,2,106177,5,71635,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.6666667,10,12,48,55.55556,38
1,1,1,1,3,8,-.5702332,-.3340286,1,-1.214949,2.741431,0,0,4,4,106337,5,71635,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.6666667,10,12,48,55.55556,39
1,1,1,1,3,8,.7113649,.5453675,1,-1.745778,3.157328,1,0,1,2,106177,2,122477,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.6666667,10,12,48,55.55556,40
1,1,1,1,4,2,-.0899212,-.2232502,1,-3.351348,1.519139,0,1,2,5,107066,5,71635,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.25,10,11.8,59,40.97222,41
1,1,1,1,4,2,-.4368901,-.3356858,0,5.00752,2.069006,0,0,4,3,106932,4,112991,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.25,10,11.8,59,40.97222,42
1,1,1,1,4,2,2.002449,.5100637,1,.8153341,3.136624,0,0,4,1,106770,3,77538,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.25,10,11.8,59,40.97222,43
1,1,1,1,4,2,.4327208,.7695397,1,.4752702,2.406844,0,1,5,4,106337,1,125233,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.25,10,11.8,59,40.97222,44
1,1,1,1,4,2,.4925277,-.0508628,1,-1.187286,1.708813,0,0,4,3,106932,5,71635,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.25,10,11.8,59,40.97222,45
1,1,1,1,4,3,.4722675,.5664524,0,-3.379104,3.322884,0,1,5,4,106337,2,122477,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.25,10,11.8,59,40.97222,46
1,1,1,1,4,3,-.6853161,-.4323901,0,.511905,2.304429,0,0,2,4,106337,5,71635,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.25,10,11.8,59,40.97222,47
1,1,1,1,4,3,-.8673735,-.0685754,1,-3.481851,1.961485,0,0,5,5,107066,2,122477,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.25,10,11.8,59,40.97222,48
1,1,1,1,4,3,1.664081,.3106612,0,.8576645,2.810512,0,0,3,4,106337,1,125233,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.25,10,11.8,59,40.97222,49
1,1,1,1,4,3,-.4789861,.9467893,1,-3.686001,2.203366,0,0,4,2,106177,5,71635,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.25,10,11.8,59,40.97222,50
1,1,1,1,4,4,.4907289,-.0461131,0,.7815694,3.154494,0,0,1,3,106932,5,71635,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.25,10,13,39,45.13889,51
1,1,1,1,4,4,1.073126,.4590257,0,1.596809,3.871329,1,0,4,5,107066,1,125233,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.25,10,13,39,45.13889,52
1,1,1,1,4,4,-.4361407,-.7403479,0,.6858488,2.301298,0,0,1,5,107066,3,77538,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.25,10,13,39,45.13889,53
1,1,1,1,4,5,.143711,-.1836728,1,-1.37786,3.06631,0,1,4,5,107066,3,77538,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.25,10,10.666667,32,37.03704,54
1,1,1,1,4,5,-.4927315,.8026059,1,1.587578,1.121357,1,1,2,2,106177,4,112991,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.25,10,10.666667,32,37.03704,55
1,1,1,1,4,5,-.1656648,.548075,0,.9396269,3.339085,0,0,2,5,107066,4,112991,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.25,10,10.666667,32,37.03704,56
1,1,1,1,4,6,-.1749414,-.1247175,0,2.501095,3.212713,0,0,4,1,106770,4,112991,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.25,10,11,55,38.19444,57
1,1,1,1,4,6,-.1317861,.2035807,0,-3.00924,1.90995,0,0,4,4,106337,2,122477,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.25,10,11,55,38.19444,58
1,1,1,1,4,6,.0209915,.0685424,0,-2.16956,2.692954,0,0,4,5,107066,4,112991,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.25,10,11,55,38.19444,59
1,1,1,1,4,6,.7716379,.5513403,0,-.2947823,2.465286,0,1,3,3,106932,2,122477,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.25,10,11,55,38.19444,60
1,1,1,1,4,6,.8095095,.3671654,0,-1.556687,3.308551,0,0,2,5,107066,3,77538,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.25,10,11,55,38.19444,61
1,1,1,1,4,8,.2676542,.1391276,1,1.795611,2.949004,0,1,3,2,106177,5,71635,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.25,10,10.333333,31,35.87963,62
1,1,1,1,4,8,1.190898,.7419804,0,.7555998,3.045656,0,0,3,1,106770,4,112991,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.25,10,10.333333,31,35.87963,63
1,1,1,1,4,8,-.5523667,-.6846071,1,.6658517,3.465123,0,0,3,1,106770,4,112991,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.25,10,10.333333,31,35.87963,64
1,1,1,1,4,9,.9072958,.3944313,0,.4475011,3.147661,0,1,1,5,107066,2,122477,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.25,10,11.5,46,39.93056,65
1,1,1,1,4,9,.2129258,.2642372,1,.5067883,2.777416,1,0,4,2,106177,4,112991,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.25,10,11.5,46,39.93056,66
1,1,1,1,4,9,.3773646,.0569127,1,3.258806,3.575703,0,0,2,3,106932,5,71635,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.25,10,11.5,46,39.93056,67
1,1,1,1,4,9,1.377586,.3531711,1,-.9094719,3.422138,0,0,1,3,106932,2,122477,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.25,10,11.5,46,39.93056,68
1,1,1,1,4,10,.7507753,.2928004,0,1.916719,3.469451,1,1,3,1,106770,1,125233,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.25,10,12,36,41.66667,69
1,1,1,1,4,10,1.587792,.266914,1,-1.772335,3.871085,1,1,1,3,106932,1,125233,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.25,10,12,36,41.66667,70
1,1,1,1,4,10,-.6435007,.887017,1,-1.351055,2.166391,0,0,3,5,107066,2,122477,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.25,10,12,36,41.66667,71
1,1,1,1,5,1,.3527539,-.057691,0,-3.081014,1.766669,0,0,4,2,106177,1,125233,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.6666667,10,11.25,45,52.08333,72
1,1,1,1,5,1,-.4669789,.3149817,1,.9197468,2.502636,1,0,4,3,106932,5,71635,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.6666667,10,11.25,45,52.08333,73
1,1,1,1,5,1,.4363537,.2329559,1,1.480822,2.302416,0,0,3,3,106932,2,122477,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.6666667,10,11.25,45,52.08333,74
1,1,1,1,5,1,-2.829915,.3050869,0,.3600067,.4019829,0,0,1,4,106337,5,71635,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.6666667,10,11.25,45,52.08333,75
1,1,1,1,5,5,-.7083797,.1954958,0,-.9675793,2.270009,0,0,3,5,107066,3,77538,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.6666667,10,12.666667,38,58.64198,76
1,1,1,1,5,5,1.871854,.1342616,1,2.298606,3.574928,1,0,2,1,106770,3,77538,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.6666667,10,12.666667,38,58.64198,77
1,1,1,1,5,5,-.1834595,-.3381575,0,1.536772,2.701098,0,0,3,3,106932,1,125233,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.6666667,10,12.666667,38,58.64198,78
1,1,1,1,5,7,-.2232952,-.145118,1,-1.024309,2.590191,1,0,2,5,107066,2,122477,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.6666667,10,12,36,55.55556,79
1,1,1,1,5,7,1.571848,-.2365101,1,.5302238,3.292024,1,0,5,2,106177,1,125233,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.6666667,10,12,36,55.55556,80
1,1,1,1,5,7,1.692596,-.3236024,1,-1.666115,4.360915,0,1,1,4,106337,3,77538,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.6666667,10,12,36,55.55556,81
1,1,1,1,5,8,-2.380753,-.1613734,0,.277503,2.090182,1,0,5,1,106770,1,125233,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.6666667,10,11.333333,34,52.46914,82
1,1,1,1,5,8,-.6359974,-.5409306,1,-2.497269,2.692196,0,0,4,5,107066,2,122477,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.6666667,10,11.333333,34,52.46914,83
1,1,1,1,5,8,-.6876326,-.0406037,0,-.7177993,3.812752,1,0,5,1,106770,2,122477,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.6666667,10,11.333333,34,52.46914,84
1,1,1,1,5,9,-.5249596,-.210535,1,1.334812,3.434963,0,0,4,2,106177,5,71635,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.6666667,10,10.8,54,50,85
1,1,1,1,5,9,.4703436,.3896662,1,-.408022,3.494346,0,0,2,2,106177,1,125233,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.6666667,10,10.8,54,50,86
1,1,1,1,5,9,.738497,-.0041879,1,2.558388,3.478482,1,1,4,1,106770,4,112991,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.6666667,10,10.8,54,50,87
1,1,1,1,5,9,1.15696,.3392141,0,1.57209,2.619149,0,0,5,4,106337,3,77538,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.6666667,10,10.8,54,50,88
1,1,1,1,5,9,-1.880626,1.202459,0,-.2994207,.7436751,1,0,4,1,106770,5,71635,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.6666667,10,10.8,54,50,89
1,1,1,1,5,10,.01461,.6601604,1,1.407683,2.987377,1,0,3,1,106770,3,77538,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.6666667,10,10.2,51,47.22222,90
1,1,1,1,5,10,-1.240203,.5032526,1,.2153295,2.572356,0,0,3,1,106770,2,122477,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.6666667,10,10.2,51,47.22222,91
1,1,1,1,5,10,-.5732503,.0093152,0,.571895,4.064095,0,1,2,4,106337,5,71635,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.6666667,10,10.2,51,47.22222,92
1,1,1,1,5,10,-1.058245,.4715929,1,.2163184,2.296854,1,1,5,5,107066,5,71635,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.6666667,10,10.2,51,47.22222,93
1,1,1,1,5,10,-1.568179,1.185176,1,-2.310628,2.667357,0,0,2,3,106932,2,122477,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.6666667,10,10.2,51,47.22222,94
1,1,1,2,1,2,-.7077903,-.2864488,0,3.688537,1.02848,0,0,4,5,107066,2,122477,1.3333333,4,1.3333333,4,1.25,5,1.25,5,2.5,10,11.333333,34,78.7037,95
1,1,1,2,1,2,-.2455818,.2430188,1,-1.404835,2.371991,0,0,1,1,106770,5,71635,1.3333333,4,1.3333333,4,1.25,5,1.25,5,2.5,10,11.333333,34,78.7037,96
1,1,1,2,1,2,.2460307,.0692766,0,1.841469,2.298168,0,0,2,3,106932,2,122477,1.3333333,4,1.3333333,4,1.25,5,1.25,5,2.5,10,11.333333,34,78.7037,97
1,1,1,2,1,7,.2105944,-.1399008,0,1.384851,2.777302,0,0,1,5,107066,2,122477,1.3333333,4,1.3333333,4,1.25,5,1.25,5,2.5,10,11.25,45,78.125,98
1,1,1,2,1,7,-.1350501,-.5460019,0,.9409398,3.072237,1,0,2,3,106932,5,71635,1.3333333,4,1.3333333,4,1.25,5,1.25,5,2.5,10,11.25,45,78.125,99
1,1,1,2,1,7,-2.374163,.6861647,1,.2012041,.843136,0,0,3,3,106932,5,71635,1.3333333,4,1.3333333,4,1.25,5,1.25,5,2.5,10,11.25,45,78.125,100
1,1,1,2,1,7,-1.689947,.1870001,0,-.0957314,1.712469,1,0,2,1,106770,5,71635,1.3333333,4,1.3333333,4,1.25,5,1.25,5,2.5,10,11.25,45,78.125,101
1,1,1,2,1,8,-.2275087,-.1235732,0,-1.12354,2.216959,0,0,3,5,107066,1,125233,1.3333333,4,1.3333333,4,1.25,5,1.25,5,2.5,10,12,36,83.33334,102
1,1,1,2,1,8,.5332825,.2659791,1,-1.087433,3.148467,0,0,3,4,106337,5,71635,1.3333333,4,1.3333333,4,1.25,5,1.25,5,2.5,10,12,36,83.33334,103
1,1,1,2,1,8,1.341673,.3374858,1,-.4608822,3.140146,0,1,4,1,106770,1,125233,1.3333333,4,1.3333333,4,1.25,5,1.25,5,2.5,10,12,36,83.33334,104
1,1,1,2,1,9,-.9736458,-1.239851,0,-1.843907,2.349422,0,0,4,1,106770,4,112991,1.3333333,4,1.3333333,4,1.25,5,1.25,5,2.5,10,11.6,58,80.55556,105
1,1,1,2,1,9,.6929858,.1714563,0,.0822233,3.344854,0,1,3,5,107066,3,77538,1.3333333,4,1.3333333,4,1.25,5,1.25,5,2.5,10,11.6,58,80.55556,106
1,1,1,2,1,9,-.8444259,.228674,0,.9239521,2.356906,1,1,3,3,106932,5,71635,1.3333333,4,1.3333333,4,1.25,5,1.25,5,2.5,10,11.6,58,80.55556,107
1,1,1,2,1,9,-1.083599,-.1742939,0,-2.652913,2.345767,0,0,4,2,106177,3,77538,1.3333333,4,1.3333333,4,1.25,5,1.25,5,2.5,10,11.6,58,80.55556,108
1,1,1,2,1,9,-.231333,-.4436446,1,-1.872482,2.358353,0,0,1,2,106177,5,71635,1.3333333,4,1.3333333,4,1.25,5,1.25,5,2.5,10,11.6,58,80.55556,109
1,1,1,2,2,1,-.7840251,.8787014,1,-4.040747,1.325308,0,0,2,5,107066,5,71635,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.4285714,10,10.5,42,41.66667,110
1,1,1,2,2,1,.5360765,.2847063,1,-1.128302,2.606722,1,0,4,5,107066,4,112991,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.4285714,10,10.5,42,41.66667,111
1,1,1,2,2,1,.960546,.5791847,1,-.3142748,2.525984,1,0,3,4,106337,2,122477,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.4285714,10,10.5,42,41.66667,112
1,1,1,2,2,1,-.7696463,1.50412,0,4.175895,1.72387,0,0,4,1,106770,3,77538,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.4285714,10,10.5,42,41.66667,113
1,1,1,2,2,2,-.4843389,-.4533958,1,4.274952,2.581497,0,0,2,2,106177,1,125233,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.4285714,10,10,50,39.68254,114
1,1,1,2,2,2,-.2558927,-.726124,1,-3.706304,2.390494,0,0,4,3,106932,5,71635,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.4285714,10,10,50,39.68254,115
1,1,1,2,2,2,2.70233,-.8972728,1,1.33649,4.13913,1,1,5,2,106177,5,71635,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.4285714,10,10,50,39.68254,116
1,1,1,2,2,2,-.6662458,-1.029928,1,-2.950512,2.14793,0,0,2,4,106337,2,122477,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.4285714,10,10,50,39.68254,117
1,1,1,2,2,2,-.4056378,.5632167,1,.4523096,1.116239,0,0,1,3,106932,2,122477,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.4285714,10,10,50,39.68254,118
1,1,1,2,2,5,-.2414365,-.5358721,1,-2.137628,2.273908,0,0,2,5,107066,1,125233,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.4285714,10,12.333333,37,48.9418,119
1,1,1,2,2,5,-.8757874,.3608583,0,-1.248966,1.28683,0,0,2,2,106177,1,125233,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.4285714,10,12.333333,37,48.9418,120
1,1,1,2,2,5,.1936394,-.210108,0,1.34395,2.19453,0,0,1,2,106177,3,77538,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.4285714,10,12.333333,37,48.9418,121
1,1,1,2,2,6,-.5548421,-.0483826,1,-2.016999,2.05348,0,0,3,2,106177,2,122477,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.4285714,10,10.25,41,40.6746,122
1,1,1,2,2,6,-1.356588,-.6109701,0,-3.452705,2.089813,0,0,3,3,106932,3,77538,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.4285714,10,10.25,41,40.6746,123
1,1,1,2,2,6,.158586,.0062634,1,-2.332856,1.828036,0,0,3,3,106932,3,77538,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.4285714,10,10.25,41,40.6746,124
1,1,1,2,2,6,-.933591,.5190482,0,3.467039,1.918318,1,0,1,5,107066,5,71635,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.4285714,10,10.25,41,40.6746,125
1,1,1,2,2,7,-1.709877,.4810894,1,-4.561496,1.891608,0,0,3,5,107066,1,125233,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.4285714,10,10,40,39.68254,126
1,1,1,2,2,7,-.2509562,.5524555,1,2.179112,2.026646,0,0,3,1,106770,2,122477,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.4285714,10,10,40,39.68254,127
1,1,1,2,2,7,.8103219,-.4439556,0,-.6792931,4.590117,0,0,5,4,106337,1,125233,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.4285714,10,10,40,39.68254,128
1,1,1,2,2,7,-1.338914,.26041,0,-.3763722,1.101574,0,0,1,3,106932,2,122477,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.4285714,10,10,40,39.68254,129
1,1,1,2,2,9,-.9861236,.513344,1,1.770644,2.519802,0,0,2,5,107066,5,71635,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.4285714,10,10.333333,31,41.00529,130
1,1,1,2,2,9,-.2357036,.1620862,0,-1.820935,2.211494,0,0,2,5,107066,1,125233,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.4285714,10,10.333333,31,41.00529,131
1,1,1,2,2,9,.1974796,-.2595693,1,3.309109,2.911965,0,0,5,4,106337,3,77538,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.4285714,10,10.333333,31,41.00529,132
1,1,1,2,2,10,-2.113081,1.044814,0,-3.673034,1.883241,0,0,2,5,107066,1,125233,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.4285714,10,13,39,51.5873,133
1,1,1,2,2,10,1.792076,-.3718411,0,-1.65983,3.800064,0,0,4,4,106337,1,125233,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.4285714,10,13,39,51.5873,134
1,1,1,2,2,10,.9587348,.1970699,1,-1.68973,4.020546,1,0,4,1,106770,4,112991,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.4285714,10,13,39,51.5873,135
1,1,1,2,3,1,-.2863209,-1.252729,0,-1.249756,1.712191,0,0,3,4,106337,3,77538,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.25,10,10.25,41,35.59028,136
1,1,1,2,3,1,1.516665,.3137402,0,-4.403103,3.003608,0,1,3,2,106177,3,77538,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.25,10,10.25,41,35.59028,137
1,1,1,2,3,1,-.410612,.1423125,0,1.967238,1.529261,0,0,5,4,106337,3,77538,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.25,10,10.25,41,35.59028,138
1,1,1,2,3,1,.7809933,-.2588478,1,-1.177829,2.844314,0,0,4,1,106770,2,122477,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.25,10,10.25,41,35.59028,139
1,1,1,2,3,2,-.1629127,.5853755,1,-1.984465,2.566551,0,0,5,1,106770,1,125233,1.3333333,4,1.3333333,4,1.25,5,1.25,5,1.25,10,11.5,46,39.93056,140
